"id","response","text"
41,"Cirque du Soleil - Beatles Love","star review soo brilliant NAth birthday absolute dream gift front front row row tickets customer service extremely consistent alcoholic drinks fruity stuff strawberry fields souvenir cup delicious tasted strawberry starbursts huge portion price recommend super intimate                                                                                                        "
43,"Cirque du Soleil - Beatles Love","fantastic story story excellent excellent venue                                                                                                                       "
44,"Cirque du Soleil - Beatles Love","NAnd row rose petals kid friendly                                                                                                                       "
46,"Cirque du Soleil - Beatles Love","bit confused song lyrics hey jude                                                                                                                       "
47,"Cirque du Soleil - Beatles Love","nice intimate intimate venue dancing acts acrobatics explaining story visually wonderful decor decor lighting                                                                                                                   "
48,"Cirque du Soleil - Beatles Love","sound performers performers music music set set designs                                                                                                                      "
49,"Cirque du Soleil - Beatles Love","absolutely amazing                                                                                                                         "
50,"Cirque du Soleil - Beatles Love","beautiful artistic synchronized perfectly bad seating pricey seats lower orchestra                                                                                                                     "
51,"Cirque du Soleil - Beatles Love","ka awhile skill music music emotion emotion technical technical bells                                                                                                                     "
52,"Cirque du Soleil - Beatles Love","die hard fanatic lol cheapest tickets mirage website theatre isn                                                                                                                     "
53,"Cirque du Soleil - Beatles Love","second time female dancers rotating bracket easily twirl twirl somersault bright energetic energetic sets vw bus bouncy trampoline trampoline roof                                                                                                                "
54,"Cirque du Soleil - Beatles Love","NAth row row seats elaborate conjunction bold soaring soaring storytelling storytelling trapeze trapeze acts fantastical costumes stage mechanisms elderly foreign foreign born born parents immersed visual visual art                                                                                                            "
55,"Cirque du Soleil - Beatles Love","front row row loud star rating                                                                                                                       "
56,"Cirque du Soleil - Beatles Love","visit las las vegas vegas recently recently staying top row row seat strawberry fields fields forever garden wow                                                                                                                 "
57,"Cirque du Soleil - Beatles Love","mirage lv lv thursday thursday november NApm vip seat sec psychedelic party party doesn las vegas songs premiere digitally remastered music notes notes twangs twangs vocal vocal chords tunes utilize television commercials commercials hey enormous stage stage production mere size dancers aerial aerial acrobats acrobats video video installation stage props props accompanying trippy amp amp psychedelic psychedelic drug drug induce white daquiri tequila positively positively enhances experience friendly friendly crowd video recordings performers walk nice xxx xxx social social calendar                                                                                  "
58,"Cirque du Soleil - Beatles Love","las vegas cool moments moments storyline boring circus music choices peoples favorite                                                                                                                    "
59,"Cirque du Soleil - Beatles Love","gift shop beatle mania mania fanatics las vegas alive recreated recreated colorfully talented passionate passionate performers performers singers singers dancers dancers costumes coordinated team team highlight venue performance literally center center stage stage round audience participates top overview overview curious creative set set accessories recently updated                                                                                                   "
60,"Cirque du Soleil - Beatles Love","wrong expectations expectations assuming mediocre stunts stunts relative rope stunt stunt repeat wire ropes ropes stunts                                                                                                                  "
61,"Cirque du Soleil - Beatles Love","hulu documentary minute discount discount tickets laws felt coherent understandable trippy spectacle spectacle highly highly recommend recommend sitting top stadium stadium seats seats highlight christmas vacation                                                                                                             "
62,"Cirque du Soleil - Beatles Love","huge fan free tickets                                                                                                                        "
63,"Cirque du Soleil - Beatles Love","toes tapping                                                                                                                         "
64,"Cirque du Soleil - Beatles Love","bucket list list item vegas totally outstanding literally unique songs interactive pieces dance amazing amazing costumes corresponding themes themes killer killer stunts stunts featuring vw bus arial acts simple rope rope located pricing set                                                                                                         "
65,"Cirque du Soleil - Beatles Love","pretty cool dance oriented                                                                                                                        "
66,"Cirque du Soleil - Beatles Love","incorporated perfectly giant strings material fly crowd fell                                                                                                                      "
67,"Cirque du Soleil - Beatles Love","speaks spanish totally enthralled bad seat timeless music uber driver performance runs runs close feeling kinda kinda grumpy cons absolutely flash photography video recordings confiscated tip gift shop apple music music itunes itunes NANANA NANANA month amazing time saludos para para todos                                                                                                     "
68,"Cirque du Soleil - Beatles Love","riveting performance typical acrobatics physical skill colorful costuming original story feel mesmerized                                                                                                                    "
69,"Cirque du Soleil - Beatles Love","friday night wonderful night lower price highly recommend                                                                                                                      "
70,"Cirque du Soleil - Beatles Love","phenomenal physical mental concentration upper section upper section lyrics vivid                                                                                                                     "
71,"Cirque du Soleil - Beatles Love","absolutely wonderful humor mixed provoking moments hits played world events roughly row                                                                                                                    "
72,"Cirque du Soleil - Beatles Love","ohh yeaa bad seats perfect view performers corners corners screens gears half beautifully choreographed                                                                                                                   "
73,"Cirque du Soleil - Beatles Love","soliel fan michael jackson roller skaters air dancing                                                                                                                      "
74,"Cirque du Soleil - Beatles Love","drop acid acid lsd second level NAs series pregnant zimbabwe zimbabwe woman african anteater anteater ritual ritual dance dance weird                                                                                                                "
75,"Cirque du Soleil - Beatles Love","red headed headed woman grey haired half empty empty auditorium                                                                                                                     "
76,"Cirque du Soleil - Beatles Love","bungee cords simply amazing amazing artistic artistic design engineering fabulous stage choreography costumes thumbs dark scenes                                                                                                                  "
77,"Cirque du Soleil - Beatles Love","sings performers awesome costumes                                                                                                                        "
78,"Cirque du Soleil - Beatles Love","family vacation las vegas buying discounted discounted tickets spending lots minute spending spending money incredible experience set designs amazing physical physical feats                                                                                                               "
79,"Cirque du Soleil - Beatles Love","trippy scenes seniors enjoyed                                                                                                                        "
80,"Cirque du Soleil - Beatles Love","san francisco staged stories stories set technical extravaganza absolutely blew lighting video video moving moving screens screens actor actor interactions interactions costuming literature claims songs referenced lobby pre sgt peppers peppers revolver revolver white white album album yellow yellow submarine magical mystery mystery tour iNAe instrumentals features surprises provide deep deep pits semi transparent transparent screens video projections animated actors scene elements massive wide wide band band video video screens scene stage stage video video projection projection screens screens amp amp costuming constantly changing changing shifting absolutely transfixed acrobatic thrills thrills clever clever routines routines visual visual effects effects lighting feel cNAdNAs cNAdNAs caters adult oriented oriented theme couple songs songs bordered sound stage immersive utilizing utilizing speakers entire theater people complain fun scenes yellow submarine wonderful childhood childhood memories immensely satisfied                                                        "
81,"Cirque du Soleil - Beatles Love","suggest sitting dull moment amazing music                                                                                                                       "
82,"Cirque du Soleil - Beatles Love","night check check ticketing ticketing experience experience terrible thursday night ticket buying buying experience expensive tickets tickets online amp searching lost stolen stolen tickets ticket people buy tickets                                                                                                            "
83,"Cirque du Soleil - Beatles Love","music videos live happening super interactive audience interaction super cool music lover major NAs NAs throwback vintage fashion costumes dance dance techniques                                                                                                               "
84,"Cirque du Soleil - Beatles Love","second time heard pretty color combos acts sets acrobats dancing music talent                                                                                                                    "
85,"Cirque du Soleil - Beatles Love","las vegas michael jackson primary strength unparalleled soundtrack features spectacular spectacular set set pieces pieces accompanied set pieces watch spectacular spectacular acrobats crazy stuff                                                                                                              "
86,"Cirque du Soleil - Beatles Love","magical performance performance transcendent de soleils sound system system blew highly recommended                                                                                                                    "
87,"Cirque du Soleil - Beatles Love","wonderfully creative creative sets dynamic transitions straps act flying lucy lifetime experience                                                                                                                    "
88,"Cirque du Soleil - Beatles Love","theatre people slight plot incredible eye eye popping popping stuff cheapest seats people talk                                                                                                                   "
90,"Cirque du Soleil - Beatles Love","eclectic colorful                                                                                                                         "
91,"Cirque du Soleil - Beatles Love","nosebleed seats acrobatics fly huge screen                                                                                                                       "
93,"Cirque du Soleil - Beatles Love","second tier bad seats waste money top price price ticket                                                                                                                     "
95,"Cirque du Soleil - Beatles Love","sound system beautiful stage stage props minute journey death defying defying stunts totally due personal desire                                                                                                                  "
96,"Cirque du Soleil - Beatles Love","wonderful time personal preference music tends rubber soul soul onwards necessarily fans                                                                                                                    "
97,"Cirque du Soleil - Beatles Love","honestly surprised mixed reviews acrobatics outstanding outstanding dancing dancing visual visual effects effects costumes talented people round unusual unusual theater mass exodus                                                                                                               "
98,"Cirque du Soleil - Beatles Love","fun pros awesome view entire stage sit seats super entertaining nice mix dancing acrobatics sky performance entire family family super mixed drinks huge drink drink called called strawberry strawberry fields light weight pretty tossed drink super super friendly friendly ushers staff free free upgrade front door casino entrance entrance cons                                                                                                 "
100,"Cirque du Soleil - Beatles Love","loud speakers slow melodramatic melodramatic songs white sheet lighted ocean ocean scene scene beautiful level seats                                                                                                                  "
101,"Cirque du Soleil - Beatles Love","classic rock complete masterpiece pure emotion cost close ass gunna slot machine                                                                                                                    "
102,"Cirque du Soleil - Beatles Love","john lennon acrobatics flowing flowing smoothly white masks masks creepy highly rated entire row entire row entire row people seated bit absolutely whisper regular regular speaking speaking tone tone heard word perfectly gift shop                                                                                                         "
103,"Cirque du Soleil - Beatles Love","massive epic bad seats dynamic multimedia visual spectacular eye candy storyline progresses outfits makeup makeup costumes phenomenal bit massive trick trick jumps hitting trampolines amazing robotic robotic train items cart sun bit sounded calming stunts aerialists aerialists lots timey fur fur coats                                                                                                     "
104,"Cirque du Soleil - Beatles Love","theater feels feels pretty pretty intimate bad seat requires multiple multiple viewings                                                                                                                    "
105,"Cirque du Soleil - Beatles Love","las vegas unique experience trippy NAs trippy NAs                                                                                                                      "
106,"Cirque du Soleil - Beatles Love","amazing time fun play worthwhile visit                                                                                                                       "
107,"Cirque du Soleil - Beatles Love","human brings beautiful artistic artistic athletic athletic aesthetic utterly transfixed minutes passed single blink literally sat                                                                                                                  "
108,"Cirque du Soleil - Beatles Love","psychedelic adventures                                                                                                                         "
109,"Cirque du Soleil - Beatles Love","time favorite mirage hotel hotel casino casino featured vegas vacation tequila sunrise bit pricey nice size size drink cool memories amazing energy fantastic trapeze trapeze artists entire time short stories stories acts top notch notch performers song smile smile ahh guy dressed weird grown baby talk talk ugh ugh annoyed time sigh las vegas las vegas fun enjoy                                                                                             "
110,"Cirque du Soleil - Beatles Love","las vegas vegas incredible music set theatrical acrobatic acrobatic cinematic whimsical imagery seat provides wonderful view view treat memorable experience                                                                                                                "
111,"Cirque du Soleil - Beatles Love","powerful emotional emotional beautiful beautiful reminiscent reminiscent colorful colorful psychedelic highly recommend                                                                                                                    "
112,"Cirque du Soleil - Beatles Love","energy colorful awesome stage stage technology technology character character performances music oftentimes oftentimes heart heart pounding pounding wait awesome sound sound system incredibly skilled dance move story line literal story loose interpretation abstract painting van gogh gogh doesn mona lisa lisa doesn hotel concierge performance according performance time following night balcony seat balcony section seat closer stage wow empty prime prime seats absolutely awesome taller people bit uncomfortable knees pressing hour performance entire cast characters performances performances effects effects music magic shrooms                                                                                 "
113,"Cirque du Soleil - Beatles Love","NANANA stars ed sullivan acrobatic presentations music selections previous reviewer michael jackson odd costumes yellow submarine submarine sgt sgt pepper pepper magical magical mystery mystery tour                                                                                                             "
114,"Cirque du Soleil - Beatles Love","dance spectacle crazy tricks highly recommend                                                                                                                       "
116,"Cirque du Soleil - Beatles Love","free technical afternoon listen stage effects enhancement imaginable light fixtures transformer esque esque stage ringo paul customer service sales availability simple math box office purchase tickets NAs range range someway rough memory memory included included transaction transaction fee sales tax total price extra charges charges basically basically doubled purchase tickets box office critical roadblock theater box box office respectfully declined baz luhrman time concerning ticket shopping calculator ready financial trauma myvegas game game app regular tickets purchase online online purchases box office costco offers gift cards mobile app purchase tickets tight budget                                                                            "
117,"Cirque du Soleil - Beatles Love","pretty boring boring luckily                                                                                                                        "
118,"Cirque du Soleil - Beatles Love","weeks ago second time second time perfectly choreographed                                                                                                                      "
119,"Cirque du Soleil - Beatles Love","crazy talented talented performers people sitting free tickets                                                                                                                      "
120,"Cirque du Soleil - Beatles Love","reasonable price price paid phone bought voila enjoyed night don purchase seamless seamless experience                                                                                                                   "
121,"Cirque du Soleil - Beatles Love","highly recommend                                                                                                                         "
122,"Cirque du Soleil - Beatles Love","expectations lower jaw dropping dropping acrobatics leans heavy minute flow bad seats front middle sweet spot                                                                                                                  "
123,"Cirque du Soleil - Beatles Love","die hard hard fan beautifully portrayed death luckily                                                                                                                      "
124,"Cirque du Soleil - Beatles Love","vegas icon steve wynn world alright price breakdown section NAs section NAs NAs middle middle rows section NAs NAs lower lower rows section NAs section NAs NAs based pricing chart chart mgm section NAs check mlife mlife tixNAtonight nba game lowest seats seats alright                                                                                                    "
125,"Cirque du Soleil - Beatles Love","laser light technical standpoint human talent priced dance dance number acrobats thrown dr evil                                                                                                                   "
126,"Cirque du Soleil - Beatles Love","anniversary date date night super fan job typical amazing stunts beautiful imagery fabric separating audience eventually                                                                                                                  "
127,"Cirque du Soleil - Beatles Love","live performances                                                                                                                         "
128,"Cirque du Soleil - Beatles Love","prominent las las vegas lowest common common level imagine spending                                                                                                                     "
129,"Cirque du Soleil - Beatles Love","pop culture aerial acrobatics acrobatics costumes costumes props musical hits bad seat stage actors nice view entire integration                                                                                                                 "
130,"Cirque du Soleil - Beatles Love","absolutely amazing                                                                                                                         "
131,"Cirque du Soleil - Beatles Love","choreography set set design elaborate stunts                                                                                                                       "
132,"Cirque du Soleil - Beatles Love","NAnd time NAth row short segment heads blocking                                                                                                                      "
133,"Cirque du Soleil - Beatles Love","concierge prefaced ticket purchase busy body uk flag shiny color color changing changing lit floor spectacular photo shoot head inside inside smashing reveal spoilers ticket holder acrobatic performance kinda stoners doors jimmy michael jackson                                                                                                         "
134,"Cirque du Soleil - Beatles Love","amazing time highly recommends                                                                                                                        "
135,"Cirque du Soleil - Beatles Love","visually stimulating eyes didn cheap seats lower perspective                                                                                                                      "
136,"Cirque du Soleil - Beatles Love","absolutely fabulous atmosphere totally totally phenomenal                                                                                                                       "
137,"Cirque du Soleil - Beatles Love","pure fun                                                                                                                         "
138,"Cirque du Soleil - Beatles Love","spectacular phenomenal artistically creative creative wowwwwwwww fantastic wonderful fun watching candy store exuberance elation sheer joy bad seat                                                                                                                 "
139,"Cirque du Soleil - Beatles Love","unique elements bad seat rows closest uniquely shaped stage frequently act included included perfectly perfectly coordinated coordinated dancing dull moments unique elements audience interaction feel included include spectacular spectacular physical physical stunts typical awe                                                                                                         "
141,"Cirque du Soleil - Beatles Love","pretty nice stage running international fame cool scene gigantic sheet recommend sitting nice throwback wonderful band                                                                                                                  "
142,"Cirque du Soleil - Beatles Love","staging lights                                                                                                                         "
143,"Cirque du Soleil - Beatles Love","bad reviews stunning acrobatics enjoyed ka art dance magical moments disappointed review school musical partly true beatle music visually expressing psychedelic songs dolby sound final tip bad seats                                                                                                            "
144,"Cirque du Soleil - Beatles Love","bit complacent unique perspective john lennon                                                                                                                       "
145,"Cirque du Soleil - Beatles Love","reviews written gift store extremely proud shrewd strategy bit crowded awesome moment snack bar double wine plastic tumbler blends music conversations acrobatics acrobatics images riveting performance kids sitting awestruck comments english accents cute NANANA highly recommend                                                                                                        "
146,"Cirque du Soleil - Beatles Love","fell short hard pressed                                                                                                                        "
147,"Cirque du Soleil - Beatles Love","kid friendly friendly music bad views                                                                                                                       "
148,"Cirque du Soleil - Beatles Love","wonderful production special occasion top experience absolute spectacle visual effects effects listening time favorite favorite bands top sitting front row interactive performers                                                                                                               "
149,"Cirque du Soleil - Beatles Love","cheapest seats seats sit top seats discounted money grammy winning winning mash                                                                                                                    "
150,"Cirque du Soleil - Beatles Love","aerialists contortionists contortionists acrobats acrobats clowns clowns unique unique stage stage special special effects daze sort head trip hippy phase storied history haircut ed ed sullivan sullivan version psychedelic bell bell bottom hair version sergeant pepper folks doors half hour pricing options line vegas vegas slots half price price deals mirage ticket ticket office day cheaper cheaper tickets strip discount discount ticket ticket kiosks kiosks booths ticket options dealing albeit albeit card card dealers dealers time time share share free dealers half half naked naked girly girly business business card sidewalk dealers entire spectacle spectacle additionally fabric covering sitting underneath controlled dancing dancing mayhem performers situated church revival trampoline net net climbing climbing acrobats employment hope controlled teen teen head head banger lone contortionist moves suggest entire audience lost underneath sea period kid performers performers supposed visual special special effects druggie phase                                                   "
151,"Cirque du Soleil - Beatles Love","vegas classic selfishly eliminated deathly afraid highly recommended absolutely awe awe inspiring watch highly highly recommended                                                                                                                  "
152,"Cirque du Soleil - Beatles Love","acrobatic skills skills preformed bad seat recommended checking                                                                                                                      "
154,"Cirque du Soleil - Beatles Love","watching people austin powers kkk costumes costumes dancing white supremacists supremacists spin spin barney barney style style alongside happy people african american american woman woman amp baby daddy people driving wig wearing wearing women women bouncing bungee cords garden utilized skill whatsoever hard earned earned money precious time feeling whatsoever feel uncomfortable NAx zarkana zarkana la la nouba chart topping topping music awesome story story feeling feeling stunts stunts diversity paid huge star reviewers                                                                                     "
155,"Cirque du Soleil - Beatles Love","hypnotic stage absolutely brilliant round stage stage offers minor interactive interactive element element exclusive sit closer wont spoil covers songs story flows flows seamlessly death defying defying acts overload mode peoples lives music resonates playing loudly hey jude entire gambit roller coaster coaster ride songs convey somber melodic melancholy feel breakneck pace special effects absolute perfection excellent job world events complete feel lifetime band perfect homage fans alike pun intended                                                                                       "
156,"Cirque du Soleil - Beatles Love","second time cool acrobatic acrobatic stuff stuff typical familiar music                                                                                                                     "
157,"Cirque du Soleil - Beatles Love","michael jackson ticket sales mandalay bay tickets sales sales gal lil dinner huge line line doors casually waited line slowly slowly dwindled sorta circular bad seat waiting time time pass pass quickly story line line follows musical sgt sgt peppers peppers lonely lonely heart heart band music industry battle evil evil forces home town touching heartbreaking heartwarming kudos ticket sales sales gal spoiler alert bottom seats                                                                                         "
158,"Cirque du Soleil - Beatles Love","bucket list list experiences dreams wether                                                                                                                       "
159,"Cirque du Soleil - Beatles Love","remember watching watching hard hard days days night real band real fans serene smile innocent music music questions vegas lucky discount ticket ticket deal bad ticket cheap seats mid range range tickets tickets offered dancing acrobatics story line                                                                                                       "
161,"Cirque du Soleil - Beatles Love","boy band songs didn physical feats innovative stage stage concepts stage lighting lighting choreography live performances beautiful segments feature animation animation dance crazy costumes superhero style style strongmen strongmen hold action trust cheap seats                                                                                                         "
162,"Cirque du Soleil - Beatles Love","including drawing total treasure garbage taker taker outers mirage buffet buffet top vegas aria tastefully designed                                                                                                                  "
163,"Cirque du Soleil - Beatles Love","town life couple friends NAth birthday start dancing boring moment NArd row row seats                                                                                                                   "
164,"Cirque du Soleil - Beatles Love","times totally totally worth                                                                                                                        "
165,"Cirque du Soleil - Beatles Love","simply amazing                                                                                                                         "
166,"Cirque du Soleil - Beatles Love","utterly captivated bad seats seats acoustics amazing special special effects effects set set costumes costumes choreography margaritas merch equally harrowing credit card                                                                                                               "
