Show,Text
Beatles Love,"Wow! Just wow. How could I have missed one of the greatest shows on earth all this time?

My little 9-year old has taken a liking with The Beatles songs lately so Dad and I decided to whisk him away to a quick trip to Vegas to fancy a Cirque du Soleil show. We bought tickets and we were not really expecting much, we just wanted to hear The Beatles songs really.  They have food and drinks for purchase before the show starts. I cannot miss the strawberry fields drink, its one of those got to have it. The Staff were really friendly and helpful and gave my son a cushion lift to sit on so that he can see everything. 

The show itself was spectacular! It was breathtaking, it was mesmerizing, it moves you, it overwhelms you with so much emotions and memories of the past. It was purely beautiful! From the lighting, the audio, the costumes, the stage design, and the acrobatic performers- wow!  All three of us me, hubby and even little 9-year old were in awe and almost teary-eyed with some of the songs.

It was a beautiful evening, one that will definitely go down in the books. Weve also created a beautiful memory with our son that he will remember for many, many years through this show."
Beatles Love,"What a beautiful show! My husband and I loved it! The music, the energy, the talent! Highly recommend this show to anyone! Ive seen it twice and would still see it again. I took my mom the first time."
Beatles Love,"This show was great. I love the Beatles and a bit of a psychedelic vibe, so this was right up my alley."
Beatles Love,"Spectacular!

Our first Cirque du Soleil show! It was fun to watch the acrobatic performances by these extraordinary artists as they balance, dance, and perform crazy human feats with agility and skill to the tunes of the Beatles. We were just behind one row from the front stage and although they were good seats now that Ive seen how the performance played out I wouldve rather sat a little further in the back rows to get a complete visual of the stage. The stage was always busy with performers coming from all sides, corners and above!

I enjoyed the colorful props, the high-flying performances, the artistic costumes, theatrical fog and strobe effects, the songs and the overall theme. Having given Beatles LOVE the kudos they deserve it is still an acrobat show and Im probably in the minority when I say this... I most likely will lean on not watching another Cirque du Soleil performance. I only liked this particular show because it had music background that Im familiar with -- the Beatles. Even so I am not familiar with all the Beatles songs so sometimes I dont understand the story being acted with the song. Also, late last year (Nov 2017), we signed up to attend the Magical Technical Tour where they showed behind the scenes of how the rigging, automation, lighting projections, sound, and the props all played out in the Beatles LOVE. We thought it was cool... it was free admission.

Glad to have a chance to see our first Cirque du Soleil show at Beatles LOVE. After the show we took a look at the merchandise displayed at the Store. There is also a neon backdrop with a silhouette of the Beatles for photo ops. If youre a fan of the Fab Four this show is a must see! This is performing at The Mirage.

Review #1059"
Beatles Love,"If you are or are not a Beatles fan this show is a go to see for sure. I was in between a 4 and a 5 only because I wasnt totally taken back by the acrobatics, expected a little more from a Cirque Du Soleil production but the theatrics edged it up to a 5. Costumes and general performance were over the top and of course the music was incredible; there was a moment during the performance where they draped an enormous soft, silky sheet like material over the entire audience while a song was playing- epic moment. The Beatles, ( John, Paul, George and Ringo) and featured during the performance and their actual voices are images are consistently intermingled throughout, was not expecting that  and is a highlight for sure. I think its well worth the money and there is not a bad seat in the house...great for kids also."
Beatles Love,"AMAZING SHOW! We had some really good seats and I was so impressed with the show. Amazing music, beautiful choreography. Of all the cirque du soleil shows I have seen, I think this one is my favorite. It definitely surprised me and there were some cool interactive stuff which was very interesting. I will definitely recommend this to other people and would watch it again if Im ever in town and have other people interested in going to see it. Everything about this show was beautiful."
Beatles Love,"Towards the end of our stay in Vegas, we decided to see what deals we could get on a show. We went to the discounted ticket kiosks that are littered around the strip and found that we could get very good Beatles LOVE tickets for ~79 dollars (if purchased between 9am-11am that day).
Upon entering the theater in The Mirage Casino and Hotel, we were greeted by an iconic and wonderful light exhibit (that you have probably seen on IG). Before starting the show, I grabbed a London Mule (aka a moscow mule) to quench my thirst during the 1.5 hour show.  We sat in the upper section where both the center stage and the peripherals were able to be seen.   The show started and immediately I was in awe. Set pieces and performers appeared and disappeared from every direction.  The dancing, visuals, and music combined to be an amazing experience.    My only complaint is that the music was LOUD...if you have sensitive ears, I would recommend some earplugs."
Beatles Love,An amazing show. But this is much more of a music and dancing show then it is a on the edge of your seat Cirque du Soleil acrobatic show. A lot of hanging from ropes and swinging about.
Beatles Love,"We had seen this performance a few years ago and we enjoyed it. We thought we might enjoy it one more time and we did. This is not one of those sound like the Beatles performances, it is the original music with performers putting the words into context. It is quite entertaining and probably among the best shows in Las Vegas. 
Dont expect a Beatles imitator and you wont be disappointed. Great music, dancing and performing."
Beatles Love,"Can I give them a 10+ star review. This show is amazingly good soo brilliant. I grew up listening to the Beatles so being able to see this show for my 25th Birthday was an absolute dream. The show wasnt even finished and I knew I had to return. My Bestfriend gave me this as a gift front row tickets. 

Everything from the beginning to the end was amazing, the production, the dancers, the customer service, the drinks and food were all extremely consistent. 

They have a good variety of alcoholic drinks especially to those that like the fruity stuff like I do, I had the Strawberry fields in the souvenir cup and it was delicious tasted like strawberry starbursts and it was a huge portion for the price. 

Recommend Next time getting tickets In the middle or towards the top so youre able to see better. The theater is small and super intimate you feel like you are almost part of the show, they did such a great job with the storylines for each song."
Beatles Love,"They broke down in the last 10 minutes and didnt offer anything for the troubles. It is an amazing show, but when something like this happens, even in the last 10 minutes they should offer something. The last part of the show is the BEST! And we missed it. They just made us sit there for 20 minutes with nothing. Feel sorry for the next show."
Beatles Love,"This show is amazing. For anyone familiar with Beatles music, you would be amazed how it
has been combined to create this fantastic story. Excellent venue, great service."
Beatles Love,"I brought my 5 year old for her birthday, she absolutely loved it! She laughed, she sang, she was mesmerized by everything and everyone on stage. We sat in the 2nd row and someone came and brought her a booster without us even asking (very thoughtful). Before the show some of the performers were walking around and one of them tossed what looked like rose petals on my daughter (it was paper) but it looked so beautiful coming down, she was so excited and it definitely set the tone for the evening. I really liked it and watching it with my daughter made it special, Im glad its kid friendly."
Beatles Love,Amazing! You will be mad when it ends and want to watch more. It was truly the best show Ive ever seen.
Beatles Love,"This was my first Cirque show ever. Im a fan of the Beatles - one of the greatest bands in the world! 
My favorite part was listening to the songs as this brought back feelings of nostalgia. The acts were all very impressive as well. However, I was a bit confused from the beginning to the middle because I couldnt see a connection between the song lyrics and the choreography. It doesnt seem like there is a plot or consistency to the story either. Anyway, my favorite ones were Lucy in the Sky with Diamonds, Something, and Hey Jude."
Beatles Love,"Amazing show at the Mirage!!! 

If you are a Beatles fan this show is definitely more exciting and in a nice intimate venue where every angle side and seat makes it enjoyable with great views. It was nostalgic to hear the music and see the different acts throughout as each and every part of the cast was very talented with dancing, acts, and acrobatics explaining the story visually and through The Beatles music. The inside and outside of the of the venue all have wonderful decor, lighting, and ambiance. 5 Stars.~"
Beatles Love,"This is a must see!  I have seen it three times.  The sound, performers, music, set designs and effects are mesmerizing. You dont have to love the Beatles to enjoy this show, but who doesnt?

If you can only see one show, see this one.  And P.S. whatever you do, dont even think about KA, it sucks so bad."
Beatles Love,An absolutely amazing show! My wife and I attended several years ago and again just a few weeks back. We loved it both times. Youll have enjoy it immensely if you get a chance to attend.
Beatles Love,"Best show Ive been to in Vegas. It did not disappoint. A MUST see for any Beatles fan. The performances were beautiful, artistic and amazing and synchronized perfectly to the best of the Beatles in each decade. There is no bad seating but we did pay for the pricey seats right above the lower orchestra and pleased we did.  My boyfriend is not too familiar with the Beatles music but still enjoyed the show, so definitely recommend seeing this show!"
Beatles Love,"I wish there was an option for 6 stars. This show blew me away. I had seen Ka awhile back and thought it was good, but this had it all...skill, music, emotion, technical bells and whistles that will blow your mind. Go!!"
Beatles Love,Amazing show. My girlfriend is a die hard Beatles fanatic lol. She loved it. I enjoyed it a lot even though Im a few years younger and never really listened to the Beatles. The ending was awesome. We got the cheapest tickets which were $87 on Mirage website and the seats were the last row at the top but let me tell you the view was still amazing. The theatre isnt huge and there is a part in the show youll thank me for being up higher lol. Definitely recommend whether your a Beatles fan or not.
Beatles Love,"This is definitely my favorite Cirque show. My second time seeing and I think it was even better than the first. I dont really consider myself a Beatles fan.. I enjoy their music. Well, some of their songs, but I never really go out of my way for them. However this show is awesome. So much fun! 
I love how Cirque subtly tells a story. Thats always so much going on, but its easy to follow it all. 

My favorite part are the female dancers that twirl through the sky. Its crazy they are hooked up to some kind of rotating bracket that gives them so much freedom and they can just easily twirl, somersault and spin through the air with no hindrance. Obviously, a slow about Beatles is going to have a lot of color. Very bright, energetic sets! My friends favorite part was the VW bus. I enjoyed it too great concept with the bouncy, trampoline roof. 

Theyre a lot of talent in this show thats for sure!"
Beatles Love,"I did not know what to expect but was feeling the flow that got me there. We had 4th row seats and by looking around at the way the stage was set, we were all in it. This was a kaleidoscope of colors and nostalgia, there was a swell in the room from everyone being in awe of this elaborate conjunction of bold soaring storytelling trapeze acts with these fantastical costumes and stage mechanisms. As someone who partook in some vaping and edibles, this was my naughty little caprice; for my elderly foreign born parents with no familiarity with in your face, fully immersed visual art and music this changed their life. I would totally do this all over again, it was a lot of fun."
Beatles Love,"We sat at a front row.  Loud but true to the beatles and quite a show.
We would go again, thus the 5 star rating."
Beatles Love,"I had a chance to visit Las Vegas recently staying at Caesars and I decided to see LOVE by Cirque du Soleil at the Mirage next door. I like the Beatles music and boy, this show does not disappoint. If you love the Beatles music then its a must show to see in Vegas. 

The color, the acrobatics, the dancers, the productions....etc .... everything in between, Awesome show... The show is about 95 minutes. And I got a good deal on the Price too, paid about $79 for a top row seat. 
The 3 Songs really stand out for me: Strawberry Fields Forever; Here Comes the Sun and Octopuss Garden. Wow, just wow, The cirque dancers are also great and awesome. Overall, this show is worth every pennies. 5 stars, this is as good as it gets in Vegas."
Beatles Love,"Cirque du Soleil THE BEATLES LOVE at The Mirage LV
Thursday, November 15, 2018 @ 7:00pm
VIP Next to Stage Seat: Sec 105 Row E Seat 8

What can I add to already been said about Cirque du Soleil THE BEATLES LOVE Show:  Many people love it, some hate it, some feel it needs revamping, while others complain the psychedelic party doesnt sell out. 

I AM A CLOSET BEATLES FAN!
I love every production made by Cirque du Soleil; so when it comes to seeing all seven Cirque du Soleil shows in Las Vegas, I decide to start this vacation with the classic.  First off, all Beatles songs premiere by Cirque du Soleil have been digitally remastered.  You will hear every music notes, twangs, vocal chords without distortion.  I am taken by surprise from the large volume of familiar Beatles tunes utilize by television commercials.  Hey, I heard that before!  Its by The Beatles? No way...

ENORMOUS STAGE PRODUCTION!
I am overwhelmed by the mere size of dancers, aerial acrobats, video installation and stage props accompanying every Beatles song.   Some themes more trippy &amp; psychedelic - drug induce - than I care for, but my 32oz of White Daquiri LOVE Special with a shot of Tequila positively enhances the experience!

FRIENDLY CROWD PLEASING SHOW
I have made so many video recordings and taken so many photographs from my iphone without a problem!  In fact, Cirque du Soleil performers walk right up to me and greeted with a smile or pat on shoulder and even pose for my camera.  

THANK YOU BEATLES FOR BEING A PART OF
MY NAUGHTY BUT NICE XXX SOCIAL CALENDAR!"
Beatles Love,"I have seen many shows in Las Vegas. And this is not the best show Ive seen. Especially compared to the other Cirque du Soleils, it is on the bottom of my list.
Overall show was mediocre with few cool moments. Storyline was dull and boring. Circus was okay. Music choices were disappointments. Definitely missing most peoples favorite Beatles music.
Im giving this show 3 stars since some of our family members that we were with actually enjoy the show. Maybe if this was my first Cirque du Soleil, I would have enjoyed more with less expectations."
Beatles Love,"If you dont see the show, at least see the entrance 
and visit the gift shop!! 

Must see for any Beatle-mania fanatics. 

This was the first Cirque du Soleil show I ever experienced while Ive been living in Las Vegas. This show was so LOVELY, it made me want to see as many Cirque shows as I can if not all!

As if the 60s was alive, recreated colorfully before us through the music. the audio is also amazing in this show, adds to the show very well. Talented passionate performers, singers dancers, costumes and actors overall well coordinated team.

Highlight of this particular venue, performance is literally center stage, round - so great seats all around! Ha! Which is unlike the other cirque shoes Ive seen which are usually more theater like stages. It seriously contributed to a scene in the show where the audience participates in creating an illusion! I dont want to spoil it but it was my favorite.. so amazing from the top overview, curious what the underneath was like.  Very creative set accessories, and costumes. This is a cirque show I would watch again. They recently updated the brand look and added new acts to show as well so Ill likely be back soon!"
Beatles Love,"90% Beatles retrospective, 10% Cirque.  Easily my least favorite Cirque show Ive ever seen. Gets really repetitive.

I probably went in with the wrong expectations... assuming it would be an acrobatic Cirque show with a Beatles theme... but its actually just a Beatles show with some mediocre stunts relative to the insanity of other Cirque shows.

Its mainly just dancing, dancing, dancing... then a rope stunt. Repeat. With other Cirque shows, they make you sweat with how scary the stunts are. This one? Its like JV Cirque, nothing that puts you on the edge of your seat. Also, they keep doing variations of the same wire/ropes stunts. You think its great at first but after a while, its, This AGAIN!?

I will say that if you are a Beatles fan, youll love it for that. A number of fans were rocking out for sure. Just go in not thinking of it as a Cirque show and, instead, a Beatles show."
Beatles Love,"Im a Beatles fan and I had just watched their Hulu documentary, Eight Days a Week so I was beyond stoked to find last minute discount tickets on Travelzoo. Ive seen my share of Cirque du Soleil shows but this just may be my new favorite! My husband and in-laws felt the plot was not fully coherent (understandable with the appearance of the devil and the KKK), but the show itself is a trippy spectacle. Highly recommend sitting almost nosebleed to get the best view. Several portions of the show can only be fully appreciated when seated up in the top stadium seats. Highlight of my Christmas vacation."
Beatles Love,"Im not a huge fan of the beatles, but got free tickets to the show so thought id give it a shot.
The show is nothing like the other shows in vegas, nothing fancy, all over the place, the good thing about it is that it tells the story of the beatles, how they started all the way till the end, so thats nice along with some songs and soundtracks.
If you are a huge beatles fan go check it out, otherwise, save your money!"
Beatles Love,Im a Beatles fan and I found my toes tapping a few times but this was just weird.  Ive never tried LSD but this is what it must be like.  Definitely would not recommend this show.
Beatles Love,"Bucket list item #10 : See a Cirque du Soleil show. IN VEGAS.
Totally able to cross that off now!

With all 6 of us in tow, we made reservations for the show of the year as advertised. Being a huge Beatles fan, I was thrilled to experience the music and see what this show had to offer - and let me tell you, it was OUTSTANDING!!

++ Literally all the best, and most unique songs are played during the performances - making everyone sing along!
++ Interactive pieces to the performance! We participated in a large sheet being draped over the crowd and often the performers were engaging with the audience to clap and dance!
++ Amazing costumes all projecting different periods of time, with corresponding themes! 
++ Killer stunts featuring everything from a VW Bus and trampolines, to Arial acts on a simple rope!
++ Located in The Mirage with pricing set at just $50/ticket!

I could easily go on and on about this show, but Ill stop here. 
YOU MUST GO!"
Beatles Love,"This was an enjoyable show.  If you like the Beatles its pretty cool.  A little different from O and Myrteri as this is more dance oriented, but they have acrobats and all that other stuff too.

Ot"
Beatles Love,Love this show. Had everything incorporated perfectly. The effects were amazing as the giant strings of material fly into the crowd. Fell in love with all their songs all over again and the performers did a great job. Probably my favorite cirque show.
Beatles Love,"This was without a doubt the BEST Cirque du Soleil show I have seen!

PROS: 

You dont have to be a Beatles fan to enjoy this show. We took my 67 year old mother who speaks Spanish and she was totally enthralled with the performance. 

The way the staging is set, there really isnt a bad seat in the theater. Its more about the visuals of The Fab Four and their timeless music being applied to the dancing and acrobatics. There is so much to see that you find yourself trying to focus on everything. Panning the audience I saw so many people with their hands on their chins just taking everything in.

Seating is very well organized but give yourself plenty of time to get to the theater. We couldnt find our Uber driver and almost missed the show!

The performance runs close to two hours and you FLOAT out of the theater. I was recovering from surgery and I was feeling kinda grumpy before the performance. Afterwards, I was all smiles. You will be too.

CONS: Absolutely NO flash photography or video recordings allowed or your phone will be confiscated! 

TIP: You will want to buy so much Beatles swag in the gift shop especially the music. However, if you already subscribe to Apple Music/Itunes ($4.99 month..better than Pandora) you can download The Beatles LOVE album in its entirety as part of your subscription.

Have an amazing time! Love to everyone. Amor y saludos para todos!"
Beatles Love,"Amazing new show by the masters of showmanship and acrobatics!

This riveting performance lasts about 1:30, and is peppered with over a dozen Beatles favorites throughout.  Typical acrobatics and fetes of physical skill, this show also has very colorful costuming and an original story.  

They actually perform over the crowd with some of the performance, and you truly feel mesmerized by the music and the sights and sounds.

See this soon..."
Beatles Love,"We came here on a Friday night, the theater is not seating full
The stage is in the middle of the seats, which is really fun
This show is great, good Music and good dancer
I had a wonderful night 
I would say this one is better that The One show, and at a lower price. I highly recommend"
Beatles Love,"This is a wonderful show.  We went last week on New Years Eve. The performers must truly be considered athletes given the phenomenal physical work and mental concentration.  The set is full of interesting designs and props.  Theres so much happening at one time, that its best not to fixate too long on one part as you might miss something else happening.  We sat in the upper section and were able to see fine.  In fact, the upper section allows a better view of the performers who descend from the catwalks.  The performances were choreographed to the Beatles music well, and the props used really made the lyrics vivid.  I would return to see this show again.  Photography without flash is allowed."
